season,teamId,teamName,playerName,birthDate,playerAge,nationality,height(cm),weight(kg),injured,game_appear,game_lineups,game_minutes,number,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goal_conceded,goal_assists,goal_saved,pass_total,key_pass,pass_accura,tackle_total,tackle_blocks,tackle_intercep,duel_total,duel_won,dribble_attemp,dribble_success,dribble_past,fouls_drawn,fouls_committed,yellow_card,yollowed_card,red_card,penalty_won,penalty_scored,penalty_missed,penalty_saved
2020,530,Atletico Madrid,Vitolo,1989-11-02,34,Spain,185 cm,80 kg,False,10.0,3.0,,,Midfielder,6.455555,False,7.0,3.0,33.0,2.0,,0.0,0.0,,,148.0,3.0,12.0,4.0,,3.0,39.0,17.0,4.0,2.0,,8.0,6.0,2.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,Šime Vrsaljko,1992-01-10,30,Croatia,181 cm,76 kg,False,9.0,6.0,,,Defender,6.722222,False,3.0,3.0,21.0,,,0.0,0.0,,,226.0,,18.0,18.0,,8.0,67.0,39.0,2.0,1.0,,4.0,8.0,2.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,Diego Costa,1988-10-07,36,Spain,188 cm,83 kg,False,7.0,2.0,,,Attacker,6.850000,False,5.0,2.0,5.0,4.0,3.0,2.0,0.0,,,72.0,4.0,9.0,1.0,,,43.0,14.0,1.0,1.0,,3.0,7.0,1.0,0.0,0.0,,1.0,0.0,
2020,530,Atletico Madrid,Óscar Castro,2001-06-20,23,Spain,177 cm,73 kg,False,0.0,0.0,,,Midfielder,,False,0.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,Josep Calavera,1999-10-02,25,Spain,181 cm,71 kg,False,0.0,0.0,,,Midfielder,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,
2020,530,Atletico Madrid,Álvaro García,2000-06-01,24,Spain,184 cm,77 kg,False,0.0,0.0,,,Defender,,False,0.0,0.0,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,I. Šaponjić,1997-08-02,27,Serbia,190 cm,86 kg,False,0.0,0.0,,,Attacker,,False,0.0,0.0,14.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,Adrián Corral,2003-01-05,21,Spain,183 cm,76 kg,False,0.0,0.0,,,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,
2020,530,Atletico Madrid,Renan Lodi,1998-04-08,26,Brazil,173 cm,68 kg,False,23.0,11.0,,,Defender,6.971428,False,12.0,4.0,24.0,8.0,3.0,1.0,0.0,2.0,,575.0,12.0,21.0,30.0,,16.0,148.0,89.0,29.0,22.0,,27.0,19.0,3.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,I. Grbić,1996-01-18,28,Croatia,195 cm,83 kg,False,0.0,0.0,,,Goalkeeper,,False,0.0,0.0,35.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0
2020,530,Atletico Madrid,Felipe,1989-05-16,35,Brazil,190 cm,83 kg,False,31.0,23.0,,,Defender,7.014814,False,8.0,3.0,14.0,11.0,2.0,0.0,0.0,,,1045.0,4.0,31.0,29.0,15.0,36.0,180.0,121.0,3.0,3.0,,14.0,29.0,8.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,K. Trippier,1990-09-19,34,England,178 cm,71 kg,False,28.0,28.0,,,Defender,7.246428,False,0.0,2.0,0.0,2.0,1.0,0.0,0.0,6.0,,1490.0,35.0,42.0,61.0,4.0,40.0,227.0,135.0,25.0,19.0,,15.0,30.0,0.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,T. Partey,1993-06-13,31,Ghana,185 cm,77 kg,False,3.0,2.0,,,Midfielder,7.133333,False,1.0,0.0,1.0,2.0,,0.0,0.0,,,220.0,,65.0,7.0,1.0,2.0,29.0,17.0,8.0,7.0,,1.0,5.0,1.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,Ricard Sánchez,2000-02-22,24,Spain,175 cm,67 kg,False,1.0,0.0,,,Defender,6.300000,False,1.0,0.0,12.0,1.0,,0.0,0.0,,,13.0,,8.0,1.0,,,4.0,1.0,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,Manu Sánchez,2000-08-24,24,Spain,179 cm,70 kg,False,1.0,1.0,,,Defender,6.900000,False,0.0,1.0,9.0,,,0.0,0.0,1.0,,25.0,1.0,19.0,,,,1.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,Sergio Camello,2001-02-10,23,Spain,177 cm,69 kg,False,0.0,0.0,,,Attacker,,False,0.0,0.0,18.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,João Félix,1999-11-10,25,Portugal,181 cm,70 kg,False,31.0,14.0,,,Attacker,6.932258,False,17.0,11.0,17.0,31.0,16.0,7.0,0.0,5.0,,666.0,21.0,18.0,8.0,,5.0,229.0,107.0,60.0,30.0,,48.0,16.0,6.0,0.0,0.0,,1.0,1.0,
2020,530,Atletico Madrid,Á. Correa,1995-03-09,29,Argentina,171 cm,68 kg,False,38.0,29.0,,,Attacker,6.936842,False,9.0,26.0,9.0,41.0,23.0,9.0,0.0,8.0,,854.0,38.0,18.0,38.0,1.0,22.0,324.0,131.0,90.0,53.0,,30.0,37.0,3.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,Marcos Llorente,1995-01-30,29,Spain,184 cm,74 kg,False,37.0,33.0,,,Midfielder,7.202702,False,4.0,7.0,4.0,41.0,22.0,12.0,0.0,11.0,,1243.0,45.0,28.0,71.0,3.0,29.0,365.0,167.0,66.0,39.0,,38.0,58.0,6.0,0.0,0.0,,0.0,0.0,
2020,530,Atletico Madrid,T. Lemar,1995-11-12,29,France,171 cm,63 kg,False,27.0,19.0,,,Midfielder,7.018518,False,8.0,18.0,10.0,18.0,11.0,1.0,0.0,3.0,,722.0,21.0,22.0,30.0,1.0,11.0,168.0,102.0,48.0,42.0,,23.0,15.0,4.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Ibai Gómez,1989-11-11,34,Spain,177 cm,72 kg,False,13.0,4.0,,,Midfielder,6.646153,False,9.0,4.0,20.0,4.0,,0.0,0.0,1.0,,131.0,7.0,7.0,6.0,,2.0,35.0,17.0,5.0,4.0,,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Julen Bernaola,1999-04-29,24,Spain,186 cm,77 kg,False,0.0,0.0,,,Midfielder,,False,0.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Balenziaga,1988-02-29,36,Spain,177 cm,76 kg,False,23.0,17.0,,,Defender,6.654545,False,6.0,4.0,20.0,3.0,1.0,0.0,0.0,1.0,,733.0,8.0,24.0,26.0,7.0,7.0,121.0,65.0,15.0,10.0,,15.0,17.0,0.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Iago Herrerín,1988-01-25,36,Spain,187 cm,88 kg,False,0.0,0.0,,,Goalkeeper,,False,0.0,0.0,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2020,531,Athletic Club,K. Kodro,1993-08-19,31,Bosnia and Herzegovina,190 cm,80 kg,False,3.0,0.0,,,Attacker,6.733333,False,3.0,0.0,13.0,2.0,2.0,1.0,0.0,,,9.0,,2.0,,,,5.0,2.0,1.0,1.0,,1.0,1.0,2.0,0.0,0.0,,1.0,0.0,
2020,531,Athletic Club,Unai Núñez,1997-01-30,27,Spain,186 cm,80 kg,False,25.0,23.0,,,Defender,6.928000,False,2.0,1.0,14.0,11.0,5.0,1.0,0.0,1.0,,1186.0,6.0,41.0,23.0,14.0,31.0,178.0,101.0,8.0,6.0,,11.0,22.0,6.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Unai López,1995-10-30,29,Spain,170 cm,68 kg,False,26.0,15.0,,,Midfielder,6.926923,False,11.0,12.0,20.0,16.0,10.0,3.0,0.0,,,981.0,18.0,32.0,27.0,5.0,18.0,145.0,69.0,22.0,15.0,,20.0,21.0,7.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Asier Villalibre,1997-09-30,27,Spain,184 cm,86 kg,False,35.0,16.0,,,Attacker,6.708823,False,19.0,13.0,20.0,33.0,14.0,4.0,0.0,2.0,,281.0,13.0,5.0,3.0,,2.0,204.0,94.0,9.0,3.0,,32.0,19.0,1.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Nico Williams,2002-07-12,22,Spain,181 cm,67 kg,False,2.0,0.0,,,Attacker,6.700000,False,2.0,0.0,5.0,1.0,,0.0,0.0,,,16.0,,4.0,1.0,,1.0,9.0,5.0,3.0,3.0,,,1.0,0.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,I. Williams,1994-06-15,30,Ghana,186 cm,81 kg,False,38.0,27.0,,,Attacker,6.744736,False,11.0,18.0,11.0,35.0,17.0,6.0,0.0,6.0,,516.0,30.0,9.0,11.0,1.0,5.0,281.0,119.0,59.0,33.0,,36.0,17.0,1.0,0.0,0.0,,1.0,0.0,
2020,531,Athletic Club,Álex Berenguer,1995-07-04,29,Spain,175 cm,73 kg,False,35.0,27.0,,,Attacker,6.908571,False,8.0,19.0,8.0,34.0,15.0,8.0,0.0,4.0,,753.0,38.0,16.0,47.0,3.0,18.0,356.0,151.0,73.0,35.0,,46.0,48.0,4.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Muniain,1992-12-19,32,Spain,170 cm,65 kg,False,28.0,23.0,,,Attacker,6.989285,False,5.0,18.0,6.0,17.0,11.0,5.0,0.0,3.0,,946.0,35.0,29.0,20.0,,11.0,242.0,141.0,61.0,41.0,,69.0,17.0,1.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Raúl García,1986-07-11,38,Spain,184 cm,83 kg,False,34.0,21.0,,,Midfielder,6.817647,False,13.0,12.0,13.0,36.0,14.0,5.0,0.0,1.0,,558.0,15.0,10.0,34.0,1.0,15.0,368.0,206.0,13.0,7.0,,50.0,50.0,7.0,1.0,1.0,,2.0,1.0,
2020,531,Athletic Club,Dani García,1990-05-24,34,Spain,180 cm,81 kg,False,27.0,21.0,,,Midfielder,6.714814,False,6.0,6.0,14.0,5.0,1.0,0.0,0.0,1.0,,1026.0,8.0,31.0,39.0,7.0,33.0,214.0,107.0,6.0,6.0,,22.0,29.0,8.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Oihan Sancet,2000-04-25,24,Spain,188 cm,73 kg,False,24.0,11.0,,,Midfielder,6.679166,False,13.0,10.0,27.0,17.0,6.0,2.0,0.0,2.0,,345.0,12.0,10.0,8.0,,5.0,129.0,61.0,25.0,18.0,,17.0,19.0,2.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Mikel Vesga,1993-04-08,31,Spain,191 cm,83 kg,False,30.0,20.0,,,Midfielder,6.673333,False,10.0,9.0,17.0,16.0,5.0,0.0,0.0,1.0,,902.0,12.0,24.0,28.0,8.0,27.0,223.0,96.0,11.0,9.0,,13.0,41.0,7.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Beñat Prados,2001-02-08,23,Spain,180 cm,,False,0.0,0.0,,,Defender,,False,0.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Peru Nolaskoain,1998-10-25,26,Spain,186 cm,81 kg,False,0.0,0.0,,,Defender,,False,0.0,0.0,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Lekue,1993-05-04,31,Spain,180 cm,70 kg,False,18.0,5.0,,,Defender,6.576470,False,13.0,2.0,30.0,2.0,1.0,0.0,0.0,,,305.0,6.0,14.0,9.0,1.0,4.0,78.0,29.0,22.0,13.0,,3.0,17.0,1.0,0.0,0.0,,0.0,0.0,
2020,531,Athletic Club,Yuri,1990-02-10,34,Spain,181 cm,79 kg,False,23.0,21.0,,,Defender,6.908695,False,2.0,6.0,5.0,12.0,6.0,1.0,0.0,3.0,,853.0,17.0,30.0,24.0,,11.0,167.0,95.0,35.0,17.0,,30.0,17.0,3.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,Unai Etxebarría,1996-08-30,25,Spain,188 cm,78 kg,False,0.0,0.0,,,Goalkeeper,,False,0.0,0.0,7.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2020,532,Valencia,Vicente Esquerdo,1999-01-02,25,Spain,180 cm,77 kg,False,4.0,3.0,,,Midfielder,6.966666,False,1.0,3.0,15.0,1.0,,0.0,0.0,,,94.0,2.0,19.0,7.0,2.0,8.0,20.0,9.0,4.0,2.0,,,3.0,1.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,Guillem Molina,2000-05-03,24,Spain,183 cm,71 kg,False,2.0,1.0,,,Defender,6.300000,False,1.0,1.0,14.0,,,0.0,0.0,,,56.0,,22.0,1.0,1.0,4.0,26.0,11.0,4.0,3.0,,2.0,4.0,1.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,K. Sibille,1998-09-15,26,Argentina,183 cm,71 kg,False,0.0,0.0,,,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,
2020,532,Valencia,Ferro,1997-03-26,27,Portugal,191 cm,83 kg,False,3.0,2.0,,,Defender,6.250000,False,1.0,0.0,15.0,,,0.0,0.0,,,79.0,,33.0,1.0,,,9.0,1.0,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,Álex Centelles,1999-08-30,25,Spain,185 cm,73 kg,False,0.0,0.0,,,Defender,,False,0.0,0.0,4.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,M. Gómez,1996-08-14,28,Uruguay,186 cm,91 kg,False,31.0,31.0,,,Attacker,6.980645,False,0.0,10.0,1.0,39.0,25.0,7.0,0.0,1.0,,548.0,13.0,11.0,11.0,3.0,2.0,405.0,211.0,25.0,15.0,,70.0,53.0,6.0,0.0,1.0,,0.0,0.0,
2020,532,Valencia,Rubén Sobrino,1992-06-01,32,Spain,185 cm,73 kg,False,5.0,0.0,,,Attacker,6.900000,False,5.0,0.0,21.0,7.0,5.0,0.0,0.0,,,245.0,11.0,11.0,29.0,,15.0,200.0,106.0,33.0,17.0,,29.0,18.0,0.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,Toni Lato,1997-11-21,27,Spain,171 cm,64 kg,False,15.0,8.0,,,Defender,6.466666,False,7.0,3.0,26.0,2.0,2.0,1.0,0.0,,,293.0,3.0,17.0,13.0,1.0,10.0,68.0,29.0,7.0,3.0,,5.0,14.0,3.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,Gonçalo Guedes,1996-11-29,28,Portugal,179 cm,68 kg,False,31.0,27.0,,,Attacker,6.916129,False,4.0,15.0,9.0,34.0,15.0,5.0,0.0,5.0,,739.0,34.0,17.0,18.0,1.0,8.0,315.0,160.0,97.0,66.0,,68.0,29.0,3.0,0.0,1.0,,0.0,0.0,
2020,532,Valencia,Jesús Vázquez,2003-01-02,21,Spain,182 cm,76 kg,False,0.0,0.0,,,Defender,,False,0.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,Thierry Correia,1999-03-09,25,Portugal,176 cm,69 kg,False,29.0,25.0,,,Defender,6.762068,False,4.0,6.0,10.0,8.0,2.0,1.0,0.0,1.0,,937.0,18.0,24.0,47.0,6.0,42.0,253.0,143.0,45.0,27.0,,38.0,34.0,5.0,1.0,0.0,,0.0,0.0,
2020,532,Valencia,José Gayà,1995-05-25,29,Spain,172 cm,66 kg,False,33.0,32.0,,,Defender,6.803030,False,1.0,3.0,2.0,19.0,5.0,1.0,0.0,7.0,,1171.0,36.0,29.0,59.0,3.0,38.0,280.0,149.0,50.0,33.0,,30.0,30.0,6.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,Hugo Guillamón,2000-01-31,24,Spain,178 cm,62 kg,False,25.0,21.0,,,Defender,6.824000,False,4.0,5.0,11.0,7.0,1.0,1.0,0.0,,,1176.0,1.0,41.0,23.0,14.0,27.0,196.0,103.0,2.0,1.0,,28.0,32.0,8.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,M. Diakhaby,1996-12-19,28,Guinea,189 cm,78 kg,False,26.0,24.0,,,Defender,6.769230,False,2.0,4.0,5.0,8.0,4.0,1.0,0.0,,,988.0,1.0,32.0,16.0,21.0,27.0,126.0,76.0,9.0,7.0,,8.0,21.0,4.0,0.0,1.0,,0.0,0.0,
2020,532,Valencia,Cristian Rivero,1998-03-21,26,Spain,188 cm,75 kg,False,0.0,0.0,,,Goalkeeper,,False,0.0,0.0,32.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2020,532,Valencia,Jaume Doménech,1990-11-05,34,Spain,185 cm,73 kg,False,28.0,28.0,,,Goalkeeper,6.867857,False,0.0,0.0,10.0,,,0.0,42.0,,90.0,786.0,,18.0,1.0,,,7.0,6.0,1.0,1.0,,,,1.0,0.0,0.0,,0.0,0.0,1.0
2020,532,Valencia,Gabriel Paulista,1990-11-26,34,Brazil,185 cm,72 kg,False,31.0,31.0,,,Defender,7.029032,False,0.0,1.0,0.0,13.0,6.0,4.0,0.0,1.0,,1501.0,6.0,42.0,17.0,27.0,59.0,186.0,117.0,6.0,5.0,,26.0,18.0,6.0,0.0,0.0,,0.0,0.0,
2020,532,Valencia,Carlos Soler,1997-01-02,27,Spain,180 cm,76 kg,False,32.0,31.0,,,Midfielder,7.300000,False,1.0,4.0,2.0,27.0,17.0,11.0,0.0,8.0,,1431.0,45.0,38.0,41.0,11.0,23.0,220.0,121.0,39.0,25.0,,37.0,26.0,7.0,0.0,0.0,,7.0,2.0,
2020,532,Valencia,Lee Kang-In,2001-02-19,23,Korea Republic,174 cm,72 kg,False,24.0,15.0,,,Midfielder,6.904347,False,9.0,14.0,20.0,16.0,7.0,0.0,0.0,4.0,,499.0,22.0,18.0,15.0,,2.0,204.0,99.0,46.0,38.0,,42.0,14.0,1.0,0.0,0.0,,0.0,0.0,
2020,533,Villarreal,Sergio Asenjo,1989-06-28,34,Spain,189 cm,87 kg,False,36.0,36.0,,,Goalkeeper,6.791666,False,0.0,0.0,2.0,,,0.0,40.0,,80.0,1115.0,,23.0,,,,11.0,9.0,,,,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,0.0
2020,533,Villarreal,S. Chakla,1993-09-02,31,Morocco,188 cm,73 kg,False,1.0,0.0,,,Defender,6.536363,False,1.0,0.0,9.0,3.0,1.0,0.0,0.0,,,244.0,1.0,13.0,12.0,2.0,14.0,88.0,58.0,,,,15.0,13.0,0.0,0.0,0.0,,0.0,0.0,
2020,533,Villarreal,P. Estupiñán,1998-01-21,26,Ecuador,175 cm,73 kg,False,25.0,12.0,,,Defender,6.840000,False,13.0,5.0,19.0,9.0,5.0,0.0,0.0,,,503.0,17.0,16.0,37.0,2.0,35.0,148.0,76.0,21.0,9.0,,20.0,24.0,1.0,0.0,0.0,,0.0,0.0,
2020,533,Villarreal,Pau Torres,1997-01-16,27,Spain,191 cm,80 kg,False,33.0,33.0,,,Defender,7.015151,False,0.0,0.0,3.0,8.0,3.0,2.0,0.0,2.0,,2058.0,6.0,54.0,17.0,25.0,23.0,180.0,113.0,30.0,25.0,,16.0,13.0,2.0,0.0,0.0,,0.0,0.0,
2020,533,Villarreal,Jaume Costa,1988-03-18,36,Spain,171 cm,62 kg,False,14.0,3.0,,,Defender,6.641666,False,11.0,3.0,33.0,2.0,,0.0,0.0,1.0,,192.0,5.0,12.0,10.0,1.0,6.0,49.0,25.0,6.0,3.0,,9.0,7.0,1.0,0.0,0.0,,0.0,0.0,
2020,533,Villarreal,Gerard Moreno,1992-04-07,32,Spain,180 cm,77 kg,False,33.0,30.0,,,Attacker,7.566666,False,3.0,11.0,3.0,78.0,47.0,23.0,0.0,7.0,,1056.0,44.0,22.0,24.0,4.0,15.0,448.0,215.0,114.0,71.0,,58.0,44.0,3.0,0.0,0.0,,10.0,0.0,
